
Selezionare tutti gli studenti nati nel 1990

SELECT *
FROM `students` 
WHERE `date_of_birth` LIKE '1990%'


[
{"id":"55","degree_id":"4","name":"Lauro","surname":"Vitale","date_of_birth":"1990-01-30","fiscal_code":"BWOQAH56L35A201P","enrolment_date":"2018-10-22","registration_number":"620087","email":"baldassarre.mancini@dangelo.com"},
{"id":"86","degree_id":"12","name":"Matilde","surname":"Ruggiero","date_of_birth":"1990-11-17","fiscal_code":"UIFHBM73Q42E973M","enrolment_date":"2021-02-14","registration_number":"620118","email":"mariagiulia18@gmail.com"},
{"id":"217","degree_id":"16","name":"Marieva","surname":"Mariani","date_of_birth":"1990-08-30","fiscal_code":"CRKYAI63Z72H930S","enrolment_date":"2020-12-13","registration_number":"620249","email":"wgrassi@mariani.net"},
{"id":"247","degree_id":"14","name":"Marco","surname":"Bruno","date_of_birth":"1990-08-12","fiscal_code":"EPSWUQ63H25I670E","enrolment_date":"2020-06-08","registration_number":"620279","email":"ubaldo70@damico.it"},
{"id":"306","degree_id":"3","name":"Maika","surname":"Bianco","date_of_birth":"1990-01-04","fiscal_code":"GVOZOR19K65V944K","enrolment_date":"2019-11-21","registration_number":"620338","email":"nmancini@yahoo.com"},
{"id":"320","degree_id":"72","name":"Fabiano","surname":"Riva","date_of_birth":"1990-08-11","fiscal_code":"UYVLCP51Y15P902L","enrolment_date":"2019-10-10","registration_number":"620352","email":"miriam.lombardi@benedetti.org"},
{"id":"321","degree_id":"44","name":"Amedeo","surname":"Valentini","date_of_birth":"1990-04-20","fiscal_code":"RLYGWZ26T24Y855N","enrolment_date":"2020-04-18","registration_number":"620353","email":"dimitri.mariani@neri.com"},
{"id":"334","degree_id":"59","name":"Tolomeo","surname":"Morelli","date_of_birth":"1990-03-30","fiscal_code":"WCLRKV39N67J467D","enrolment_date":"2019-12-24","registration_number":"620366","email":"amedeo15@bruno.it"},
{"id":"352","degree_id":"45","name":"Eriberto","surname":"Sartori","date_of_birth":"1990-10-14","fiscal_code":"MVUSNM49E07E792U","enrolment_date":"2018-07-16","registration_number":"620384","email":"serse67@messina.com"},
{"id":"359","degree_id":"2","name":"Harry","surname":"Riva","date_of_birth":"1990-09-03","fiscal_code":"FLFQUM03P76T235N","enrolment_date":"2018-06-12","registration_number":"620391","email":"hcaputo@ferraro.com"},
{"id":"365","degree_id":"67","name":"Ursula","surname":"Sanna","date_of_birth":"1990-09-02","fiscal_code":"UWSWJL98Y56C153N","enrolment_date":"2018-11-20","registration_number":"620397","email":"vgreco@mancini.com"},
{"id":"410","degree_id":"32","name":"Pietro","surname":"Ruggiero","date_of_birth":"1990-05-11","fiscal_code":"IIXLFZ21V02C420U","enrolment_date":"2020-04-08","registration_number":"620442","email":"gerlando21@libero.it"},
{"id":"430","degree_id":"4","name":"Harry","surname":"Russo","date_of_birth":"1990-03-23","fiscal_code":"BOTXVQ95I30B140O","enrolment_date":"2020-02-06","registration_number":"620462","email":"giulietta.parisi@gmail.com"},
{"id":"443","degree_id":"71","name":"Marino","surname":"Sartori","date_of_birth":"1990-10-12","fiscal_code":"IVJSXN23A76B707B","enrolment_date":"2018-11-01","registration_number":"620475","email":"gallo.vera@hotmail.com"},
